active_member,employment_profile,gender,age,income,credit_history,existing_loans,loan_amount,loan_tenure_months,LTV_ratio,profile_score,Credit_Score
No,Salaried,Male,31,36000,487,5,109373,221,90.94342996168837,77,604
No,Salaried,Male,25,50000,386,2,150000,89,91.13525304169426,43,447
Yes,Salaried,Other,62,178000,503,10,69099,110,40,90,850
Yes,Self-Employed,Female,69,46000,349,6,150000,148,87.39336509478201,86,668
No,Salaried,Male,52,132000,553,5,150000,157,66.15875689399839,90,601
Yes,Self-Employed,Female,64,127000,158,10,108702,111,82.33125007848662,92,850
No,Self-Employed,Male,29,15000,89,1,26819,108,95,25,378
No,Salaried,Other,30,82000,610,2,126550,92,93.63457687724849,58,424
Yes,Freelancer,Male,52,119000,271,8,150000,251,75.64416579292174,100,753
No,Salaried,Male,39,101000,424,5,113257,12,68.72055645,87,575
No,Self-Employed,Male,69,166000,381,1,103472,14,95,13,384
Yes,Freelancer,Male,64,167000,439,10,150000,102,41.928686835508294,100,850
No,Freelancer,Female,68,88000,186,4,150000,92,54.69607808,95,554
No,Student,Female,19,25000,227,0,30156,30,64.83458703962643,49,350
No,Salaried,Female,59,60000,179,4,121454,60,95,82,562
No,Salaried,Female,26,53000,18,4,137722,47,95,78,547
Yes,Self-Employed,Male,57,36000,409,9,88563,228,59.14587023582101,100,821
No,Self-Employed,Male,42,115000,302,3,107712,86,64.52694824947865,75,502
No,Salaried,Female,34,44000,441,0,95976,55,91.20485064442639,15,300
Yes,Salaried,Female,20,57000,11,7,150000,285,40,100,733
No,Salaried,Female,69,149000,522,3,113045,39,62.68547357,92,505
Yes,Salaried,Female,56,147000,275,9,120217,159,82.56591762970348,100,839
No,Self-Employed,Male,37,26000,287,6,116196,286,56.33726420127495,98,631
No,Salaried,Female,68,68000,83,0,40661,63,70.85460992022955,74,354
No,Salaried,Female,52,130000,189,3,145578,76,79.84884134852204,88,495
No,Unemployed,Female,61,41000,104,0,23296,99,58.68662199975521,23,307
No,Salaried,Male,39,34000,605,5,150000,96,75.06358255882917,100,590
No,Self-Employed,Male,54,116000,434,4,150000,47,57.34368675755078,83,535
Yes,Unemployed,Female,52,87000,26,7,141231,70,94.61680935507344,58,697
No,Self-Employed,Female,25,37000,460,4,36315,93,95,79,571
No,Self-Employed,Male,24,15000,24,2,10764,48,78.1671332,49,463
Yes,Unemployed,Female,57,130000,600,10,56891,195,40.48198329209513,96,850
No,Freelancer,Female,23,32000,314,2,67958,83,77.54209231081902,43,442
No,Unemployed,Male,53,33000,576,2,99179,56,53.836170159566855,62,428
No,Self-Employed,Male,40,20000,48,2,67334,42,50.10343046010006,85,446
Yes,Salaried,Male,67,134000,219,10,150000,341,74.22682866107311,90,850
No,Salaried,Male,70,82000,140,2,80718,14,87.41314668,52,436
No,Salaried,Female,63,72000,168,0,103424,30,87.87750266950479,46,344
No,Self-Employed,Male,69,47000,244,3,150000,16,52.49169175970648,82,497
No,Salaried,Female,28,65000,85,3,58331,34,67.34258318309796,72,482
No,Salaried,Female,63,48000,375,4,50785,62,53.84922553647522,95,565
No,Unemployed,Other,18,16000,436,0,12592,119,94.80256516640816,17,329
No,Unemployed,Female,26,48000,349,0,127696,30,70.52754829473606,19,300
No,Salaried,Female,34,77000,160,0,93422,13,95,19,326
Yes,Salaried,Female,60,132000,169,8,119937,336,79.27722148253449,100,752
Yes,Freelancer,Female,21,44000,511,7,37592,322,85.75377417,100,733
No,Self-Employed,Male,39,110000,48,4,150000,89,67.84323724567385,78,545
Yes,Salaried,Male,56,92000,573,8,147137,237,58.796202297770975,94,763
